year_cat,Year,Taxa,Impact,Effect,Papers
2000-2003,2000,bats,direct,collision,0
2000-2003,2000,bats,direct,habitat_alteration,0
2000-2003,2000,bats,direct,invasive_spp,0
2000-2003,2000,bats,disturbance,increased_stress,0
2000-2003,2000,bats,disturbance,reduced_reprodution,0
2000-2003,2000,bats,disturbance,alteration_trophic_levels,0
2000-2003,2000,bats,disturbance,behavioural_change,0
2000-2003,2000,birds,direct,collision,0
2000-2003,2000,birds,direct,habitat_alteration,1
2000-2003,2000,birds,direct,invasive_spp,0
2000-2003,2000,birds,disturbance,increased_stress,0
2000-2003,2000,birds,disturbance,reduced_reprodution,0
2000-2003,2000,birds,disturbance,alteration_trophic_levels,0
2000-2003,2000,birds,disturbance,behavioural_change,0
2000-2003,2000,herpetofauna,direct,collision,0
2000-2003,2000,herpetofauna,direct,habitat_alteration,0
2000-2003,2000,herpetofauna,direct,invasive_spp,0
2000-2003,2000,herpetofauna,disturbance,increased_stress,0
2000-2003,2000,herpetofauna,disturbance,reduced_reprodution,0
2000-2003,2000,herpetofauna,disturbance,alteration_trophic_levels,0
2000-2003,2000,herpetofauna,disturbance,behavioural_change,0
2000-2003,2000,invertebrates,direct,collision,0
2000-2003,2000,invertebrates,direct,habitat_alteration,0
2000-2003,2000,invertebrates,direct,invasive_spp,0
2000-2003,2000,invertebrates,disturbance,increased_stress,0
2000-2003,2000,invertebrates,disturbance,reduced_reprodution,0
2000-2003,2000,invertebrates,disturbance,alteration_trophic_levels,0
2000-2003,2000,invertebrates,disturbance,behavioural_change,0
2000-2003,2000,mammals,direct,collision,0
2000-2003,2000,mammals,direct,habitat_alteration,0
2000-2003,2000,mammals,direct,invasive_spp,0
2000-2003,2000,mammals,disturbance,increased_stress,0
2000-2003,2000,mammals,disturbance,reduced_reprodution,0
2000-2003,2000,mammals,disturbance,alteration_trophic_levels,0
2000-2003,2000,mammals,disturbance,behavioural_change,0
2000-2003,2000,vegetation,direct,collision,0
2000-2003,2000,vegetation,direct,habitat_alteration,0
2000-2003,2000,vegetation,direct,invasive_spp,0
2000-2003,2000,vegetation,disturbance,increased_stress,0
2000-2003,2000,vegetation,disturbance,reduced_reprodution,0
2000-2003,2000,vegetation,disturbance,alteration_trophic_levels,0
2000-2003,2000,vegetation,disturbance,behavioural_change,0
2000-2003,2001,bats,direct,collision,0
2000-2003,2001,bats,direct,habitat_alteration,0
2000-2003,2001,bats,direct,invasive_spp,0
2000-2003,2001,bats,disturbance,increased_stress,0
2000-2003,2001,bats,disturbance,reduced_reprodution,0
2000-2003,2001,bats,disturbance,alteration_trophic_levels,0
2000-2003,2001,bats,disturbance,behavioural_change,0
2000-2003,2001,birds,direct,collision,0
2000-2003,2001,birds,direct,habitat_alteration,0
2000-2003,2001,birds,direct,invasive_spp,0
2000-2003,2001,birds,disturbance,increased_stress,0
2000-2003,2001,birds,disturbance,reduced_reprodution,0
2000-2003,2001,birds,disturbance,alteration_trophic_levels,0
2000-2003,2001,birds,disturbance,behavioural_change,0
2000-2003,2001,herpetofauna,direct,collision,0
2000-2003,2001,herpetofauna,direct,habitat_alteration,0
2000-2003,2001,herpetofauna,direct,invasive_spp,0
2000-2003,2001,herpetofauna,disturbance,increased_stress,0
2000-2003,2001,herpetofauna,disturbance,reduced_reprodution,0
2000-2003,2001,herpetofauna,disturbance,alteration_trophic_levels,0
2000-2003,2001,herpetofauna,disturbance,behavioural_change,0
2000-2003,2001,invertebrates,direct,collision,1
2000-2003,2001,invertebrates,direct,habitat_alteration,0
2000-2003,2001,invertebrates,direct,invasive_spp,0
2000-2003,2001,invertebrates,disturbance,increased_stress,0
2000-2003,2001,invertebrates,disturbance,reduced_reprodution,0
2000-2003,2001,invertebrates,disturbance,alteration_trophic_levels,0
2000-2003,2001,invertebrates,disturbance,behavioural_change,0
2000-2003,2001,mammals,direct,collision,0
2000-2003,2001,mammals,direct,habitat_alteration,0
2000-2003,2001,mammals,direct,invasive_spp,0
2000-2003,2001,mammals,disturbance,increased_stress,0
2000-2003,2001,mammals,disturbance,reduced_reprodution,0
2000-2003,2001,mammals,disturbance,alteration_trophic_levels,0
2000-2003,2001,mammals,disturbance,behavioural_change,0
2000-2003,2001,vegetation,direct,collision,0
2000-2003,2001,vegetation,direct,habitat_alteration,0
2000-2003,2001,vegetation,direct,invasive_spp,0
2000-2003,2001,vegetation,disturbance,increased_stress,0
2000-2003,2001,vegetation,disturbance,reduced_reprodution,0
2000-2003,2001,vegetation,disturbance,alteration_trophic_levels,0
2000-2003,2001,vegetation,disturbance,behavioural_change,0
2000-2003,2002,bats,direct,collision,0
2000-2003,2002,bats,direct,habitat_alteration,0
2000-2003,2002,bats,direct,invasive_spp,0
2000-2003,2002,bats,disturbance,increased_stress,0
2000-2003,2002,bats,disturbance,reduced_reprodution,0
2000-2003,2002,bats,disturbance,alteration_trophic_levels,0
2000-2003,2002,bats,disturbance,behavioural_change,0
2000-2003,2002,birds,direct,collision,1
2000-2003,2002,birds,direct,habitat_alteration,0
2000-2003,2002,birds,direct,invasive_spp,0
2000-2003,2002,birds,disturbance,increased_stress,0
2000-2003,2002,birds,disturbance,reduced_reprodution,0
2000-2003,2002,birds,disturbance,alteration_trophic_levels,0
2000-2003,2002,birds,disturbance,behavioural_change,0
2000-2003,2002,herpetofauna,direct,collision,0
2000-2003,2002,herpetofauna,direct,habitat_alteration,0
2000-2003,2002,herpetofauna,direct,invasive_spp,0
2000-2003,2002,herpetofauna,disturbance,increased_stress,0
2000-2003,2002,herpetofauna,disturbance,reduced_reprodution,0
2000-2003,2002,herpetofauna,disturbance,alteration_trophic_levels,0
2000-2003,2002,herpetofauna,disturbance,behavioural_change,0
2000-2003,2002,invertebrates,direct,collision,0
2000-2003,2002,invertebrates,direct,habitat_alteration,0
2000-2003,2002,invertebrates,direct,invasive_spp,0
2000-2003,2002,invertebrates,disturbance,increased_stress,0
2000-2003,2002,invertebrates,disturbance,reduced_reprodution,0
2000-2003,2002,invertebrates,disturbance,alteration_trophic_levels,0
2000-2003,2002,invertebrates,disturbance,behavioural_change,0
2000-2003,2002,mammals,direct,collision,0
2000-2003,2002,mammals,direct,habitat_alteration,0
2000-2003,2002,mammals,direct,invasive_spp,0
2000-2003,2002,mammals,disturbance,increased_stress,0
2000-2003,2002,mammals,disturbance,reduced_reprodution,0
2000-2003,2002,mammals,disturbance,alteration_trophic_levels,0
2000-2003,2002,mammals,disturbance,behavioural_change,0
2000-2003,2002,vegetation,direct,collision,0
2000-2003,2002,vegetation,direct,habitat_alteration,0
2000-2003,2002,vegetation,direct,invasive_spp,0
2000-2003,2002,vegetation,disturbance,increased_stress,0
2000-2003,2002,vegetation,disturbance,reduced_reprodution,0
2000-2003,2002,vegetation,disturbance,alteration_trophic_levels,0
2000-2003,2002,vegetation,disturbance,behavioural_change,0
2000-2003,2003,bats,direct,collision,1
2000-2003,2003,bats,direct,habitat_alteration,0
2000-2003,2003,bats,direct,invasive_spp,0
2000-2003,2003,bats,disturbance,increased_stress,0
2000-2003,2003,bats,disturbance,reduced_reprodution,0
2000-2003,2003,bats,disturbance,alteration_trophic_levels,0
2000-2003,2003,bats,disturbance,behavioural_change,0
2000-2003,2003,birds,direct,collision,0
2000-2003,2003,birds,direct,habitat_alteration,0
2000-2003,2003,birds,direct,invasive_spp,0
2000-2003,2003,birds,disturbance,increased_stress,0
2000-2003,2003,birds,disturbance,reduced_reprodution,0
2000-2003,2003,birds,disturbance,alteration_trophic_levels,0
2000-2003,2003,birds,disturbance,behavioural_change,0
2000-2003,2003,herpetofauna,direct,collision,0
2000-2003,2003,herpetofauna,direct,habitat_alteration,0
2000-2003,2003,herpetofauna,direct,invasive_spp,0
2000-2003,2003,herpetofauna,disturbance,increased_stress,0
2000-2003,2003,herpetofauna,disturbance,reduced_reprodution,0
2000-2003,2003,herpetofauna,disturbance,alteration_trophic_levels,0
2000-2003,2003,herpetofauna,disturbance,behavioural_change,0
2000-2003,2003,invertebrates,direct,collision,0
2000-2003,2003,invertebrates,direct,habitat_alteration,0
2000-2003,2003,invertebrates,direct,invasive_spp,0
2000-2003,2003,invertebrates,disturbance,increased_stress,0
2000-2003,2003,invertebrates,disturbance,reduced_reprodution,0
2000-2003,2003,invertebrates,disturbance,alteration_trophic_levels,0
2000-2003,2003,invertebrates,disturbance,behavioural_change,0
2000-2003,2003,mammals,direct,collision,0
2000-2003,2003,mammals,direct,habitat_alteration,0
2000-2003,2003,mammals,direct,invasive_spp,0
2000-2003,2003,mammals,disturbance,increased_stress,0
2000-2003,2003,mammals,disturbance,reduced_reprodution,0
2000-2003,2003,mammals,disturbance,alteration_trophic_levels,0
2000-2003,2003,mammals,disturbance,behavioural_change,0
2000-2003,2003,vegetation,direct,collision,0
2000-2003,2003,vegetation,direct,habitat_alteration,0
2000-2003,2003,vegetation,direct,invasive_spp,0
2000-2003,2003,vegetation,disturbance,increased_stress,0
2000-2003,2003,vegetation,disturbance,reduced_reprodution,0
2000-2003,2003,vegetation,disturbance,alteration_trophic_levels,0
2000-2003,2003,vegetation,disturbance,behavioural_change,0
2004-2007,2004,bats,direct,collision,1
2004-2007,2004,bats,direct,habitat_alteration,0
2004-2007,2004,bats,direct,invasive_spp,0
2004-2007,2004,bats,disturbance,increased_stress,0
2004-2007,2004,bats,disturbance,reduced_reprodution,0
2004-2007,2004,bats,disturbance,alteration_trophic_levels,0
2004-2007,2004,bats,disturbance,behavioural_change,0
2004-2007,2004,birds,direct,collision,1
2004-2007,2004,birds,direct,habitat_alteration,0
2004-2007,2004,birds,direct,invasive_spp,0
2004-2007,2004,birds,disturbance,increased_stress,0
2004-2007,2004,birds,disturbance,reduced_reprodution,0
2004-2007,2004,birds,disturbance,alteration_trophic_levels,0
2004-2007,2004,birds,disturbance,behavioural_change,0
2004-2007,2004,herpetofauna,direct,collision,0
2004-2007,2004,herpetofauna,direct,habitat_alteration,0
2004-2007,2004,herpetofauna,direct,invasive_spp,0
2004-2007,2004,herpetofauna,disturbance,increased_stress,0
2004-2007,2004,herpetofauna,disturbance,reduced_reprodution,0
2004-2007,2004,herpetofauna,disturbance,alteration_trophic_levels,0
2004-2007,2004,herpetofauna,disturbance,behavioural_change,0
2004-2007,2004,invertebrates,direct,collision,0
2004-2007,2004,invertebrates,direct,habitat_alteration,0
2004-2007,2004,invertebrates,direct,invasive_spp,0
2004-2007,2004,invertebrates,disturbance,increased_stress,0
2004-2007,2004,invertebrates,disturbance,reduced_reprodution,0
2004-2007,2004,invertebrates,disturbance,alteration_trophic_levels,0
2004-2007,2004,invertebrates,disturbance,behavioural_change,0
2004-2007,2004,mammals,direct,collision,0
2004-2007,2004,mammals,direct,habitat_alteration,0
2004-2007,2004,mammals,direct,invasive_spp,0
2004-2007,2004,mammals,disturbance,increased_stress,0
2004-2007,2004,mammals,disturbance,reduced_reprodution,0
2004-2007,2004,mammals,disturbance,alteration_trophic_levels,0
2004-2007,2004,mammals,disturbance,behavioural_change,0
2004-2007,2004,vegetation,direct,collision,0
2004-2007,2004,vegetation,direct,habitat_alteration,0
2004-2007,2004,vegetation,direct,invasive_spp,0
2004-2007,2004,vegetation,disturbance,increased_stress,0
2004-2007,2004,vegetation,disturbance,reduced_reprodution,0
2004-2007,2004,vegetation,disturbance,alteration_trophic_levels,0
2004-2007,2004,vegetation,disturbance,behavioural_change,0
2004-2007,2005,bats,direct,collision,0
2004-2007,2005,bats,direct,habitat_alteration,0
2004-2007,2005,bats,direct,invasive_spp,0
2004-2007,2005,bats,disturbance,increased_stress,0
2004-2007,2005,bats,disturbance,reduced_reprodution,1
2004-2007,2005,bats,disturbance,alteration_trophic_levels,0
2004-2007,2005,bats,disturbance,behavioural_change,0
2004-2007,2005,birds,direct,collision,0
2004-2007,2005,birds,direct,habitat_alteration,0
2004-2007,2005,birds,direct,invasive_spp,0
2004-2007,2005,birds,disturbance,increased_stress,0
2004-2007,2005,birds,disturbance,reduced_reprodution,1
2004-2007,2005,birds,disturbance,alteration_trophic_levels,0
2004-2007,2005,birds,disturbance,behavioural_change,0
2004-2007,2005,herpetofauna,direct,collision,0
2004-2007,2005,herpetofauna,direct,habitat_alteration,0
2004-2007,2005,herpetofauna,direct,invasive_spp,0
2004-2007,2005,herpetofauna,disturbance,increased_stress,0
2004-2007,2005,herpetofauna,disturbance,reduced_reprodution,0
2004-2007,2005,herpetofauna,disturbance,alteration_trophic_levels,0
2004-2007,2005,herpetofauna,disturbance,behavioural_change,0
2004-2007,2005,invertebrates,direct,collision,0
2004-2007,2005,invertebrates,direct,habitat_alteration,0
2004-2007,2005,invertebrates,direct,invasive_spp,0
2004-2007,2005,invertebrates,disturbance,increased_stress,0
2004-2007,2005,invertebrates,disturbance,reduced_reprodution,0
2004-2007,2005,invertebrates,disturbance,alteration_trophic_levels,0
2004-2007,2005,invertebrates,disturbance,behavioural_change,0
2004-2007,2005,mammals,direct,collision,0
2004-2007,2005,mammals,direct,habitat_alteration,0
2004-2007,2005,mammals,direct,invasive_spp,0
2004-2007,2005,mammals,disturbance,increased_stress,0
2004-2007,2005,mammals,disturbance,reduced_reprodution,0
2004-2007,2005,mammals,disturbance,alteration_trophic_levels,0
2004-2007,2005,mammals,disturbance,behavioural_change,0
2004-2007,2005,vegetation,direct,collision,0
2004-2007,2005,vegetation,direct,habitat_alteration,0
2004-2007,2005,vegetation,direct,invasive_spp,0
2004-2007,2005,vegetation,disturbance,increased_stress,0
2004-2007,2005,vegetation,disturbance,reduced_reprodution,0
2004-2007,2005,vegetation,disturbance,alteration_trophic_levels,0
2004-2007,2005,vegetation,disturbance,behavioural_change,0
2004-2007,2006,bats,direct,collision,0
2004-2007,2006,bats,direct,habitat_alteration,0
2004-2007,2006,bats,direct,invasive_spp,0
2004-2007,2006,bats,disturbance,increased_stress,0
2004-2007,2006,bats,disturbance,reduced_reprodution,0
2004-2007,2006,bats,disturbance,alteration_trophic_levels,0
2004-2007,2006,bats,disturbance,behavioural_change,0
2004-2007,2006,birds,direct,collision,1
2004-2007,2006,birds,direct,habitat_alteration,0
2004-2007,2006,birds,direct,invasive_spp,0
2004-2007,2006,birds,disturbance,increased_stress,0
2004-2007,2006,birds,disturbance,reduced_reprodution,0
2004-2007,2006,birds,disturbance,alteration_trophic_levels,0
2004-2007,2006,birds,disturbance,behavioural_change,0
2004-2007,2006,herpetofauna,direct,collision,0
2004-2007,2006,herpetofauna,direct,habitat_alteration,0
2004-2007,2006,herpetofauna,direct,invasive_spp,0
2004-2007,2006,herpetofauna,disturbance,increased_stress,0
2004-2007,2006,herpetofauna,disturbance,reduced_reprodution,0
2004-2007,2006,herpetofauna,disturbance,alteration_trophic_levels,0
2004-2007,2006,herpetofauna,disturbance,behavioural_change,0
2004-2007,2006,invertebrates,direct,collision,0
2004-2007,2006,invertebrates,direct,habitat_alteration,0
2004-2007,2006,invertebrates,direct,invasive_spp,0
2004-2007,2006,invertebrates,disturbance,increased_stress,0
2004-2007,2006,invertebrates,disturbance,reduced_reprodution,0
2004-2007,2006,invertebrates,disturbance,alteration_trophic_levels,0
2004-2007,2006,invertebrates,disturbance,behavioural_change,0
2004-2007,2006,mammals,direct,collision,0
2004-2007,2006,mammals,direct,habitat_alteration,0
2004-2007,2006,mammals,direct,invasive_spp,0
2004-2007,2006,mammals,disturbance,increased_stress,0
2004-2007,2006,mammals,disturbance,reduced_reprodution,0
2004-2007,2006,mammals,disturbance,alteration_trophic_levels,0
2004-2007,2006,mammals,disturbance,behavioural_change,1
2004-2007,2006,vegetation,direct,collision,0
2004-2007,2006,vegetation,direct,habitat_alteration,0
2004-2007,2006,vegetation,direct,invasive_spp,0
2004-2007,2006,vegetation,disturbance,increased_stress,0
2004-2007,2006,vegetation,disturbance,reduced_reprodution,0
2004-2007,2006,vegetation,disturbance,alteration_trophic_levels,0
2004-2007,2006,vegetation,disturbance,behavioural_change,0
2004-2007,2007,bats,direct,collision,1
2004-2007,2007,bats,direct,habitat_alteration,0
2004-2007,2007,bats,direct,invasive_spp,0
2004-2007,2007,bats,disturbance,increased_stress,0
2004-2007,2007,bats,disturbance,reduced_reprodution,0
2004-2007,2007,bats,disturbance,alteration_trophic_levels,0
2004-2007,2007,bats,disturbance,behavioural_change,0
2004-2007,2007,birds,direct,collision,1
2004-2007,2007,birds,direct,habitat_alteration,0
2004-2007,2007,birds,direct,invasive_spp,0
2004-2007,2007,birds,disturbance,increased_stress,0
2004-2007,2007,birds,disturbance,reduced_reprodution,0
2004-2007,2007,birds,disturbance,alteration_trophic_levels,0
2004-2007,2007,birds,disturbance,behavioural_change,0
2004-2007,2007,herpetofauna,direct,collision,0
2004-2007,2007,herpetofauna,direct,habitat_alteration,0
2004-2007,2007,herpetofauna,direct,invasive_spp,0
2004-2007,2007,herpetofauna,disturbance,increased_stress,0
2004-2007,2007,herpetofauna,disturbance,reduced_reprodution,0
2004-2007,2007,herpetofauna,disturbance,alteration_trophic_levels,0
2004-2007,2007,herpetofauna,disturbance,behavioural_change,0
2004-2007,2007,invertebrates,direct,collision,0
2004-2007,2007,invertebrates,direct,habitat_alteration,0
2004-2007,2007,invertebrates,direct,invasive_spp,0
2004-2007,2007,invertebrates,disturbance,increased_stress,0
2004-2007,2007,invertebrates,disturbance,reduced_reprodution,0
2004-2007,2007,invertebrates,disturbance,alteration_trophic_levels,0
2004-2007,2007,invertebrates,disturbance,behavioural_change,0
2004-2007,2007,mammals,direct,collision,0
2004-2007,2007,mammals,direct,habitat_alteration,0
2004-2007,2007,mammals,direct,invasive_spp,0
2004-2007,2007,mammals,disturbance,increased_stress,0
2004-2007,2007,mammals,disturbance,reduced_reprodution,0
2004-2007,2007,mammals,disturbance,alteration_trophic_levels,0
2004-2007,2007,mammals,disturbance,behavioural_change,0
2004-2007,2007,vegetation,direct,collision,0
2004-2007,2007,vegetation,direct,habitat_alteration,0
2004-2007,2007,vegetation,direct,invasive_spp,0
2004-2007,2007,vegetation,disturbance,increased_stress,0
2004-2007,2007,vegetation,disturbance,reduced_reprodution,0
2004-2007,2007,vegetation,disturbance,alteration_trophic_levels,0
2004-2007,2007,vegetation,disturbance,behavioural_change,0
2008-2011,2008,bats,direct,collision,3
2008-2011,2008,bats,direct,habitat_alteration,0
2008-2011,2008,bats,direct,invasive_spp,0
2008-2011,2008,bats,disturbance,increased_stress,0
2008-2011,2008,bats,disturbance,reduced_reprodution,0
2008-2011,2008,bats,disturbance,alteration_trophic_levels,0
2008-2011,2008,bats,disturbance,behavioural_change,0
2008-2011,2008,birds,direct,collision,3
2008-2011,2008,birds,direct,habitat_alteration,2
2008-2011,2008,birds,direct,invasive_spp,0
2008-2011,2008,birds,disturbance,increased_stress,0
2008-2011,2008,birds,disturbance,reduced_reprodution,0
2008-2011,2008,birds,disturbance,alteration_trophic_levels,0
2008-2011,2008,birds,disturbance,behavioural_change,0
2008-2011,2008,herpetofauna,direct,collision,0
2008-2011,2008,herpetofauna,direct,habitat_alteration,0
2008-2011,2008,herpetofauna,direct,invasive_spp,0
2008-2011,2008,herpetofauna,disturbance,increased_stress,0
2008-2011,2008,herpetofauna,disturbance,reduced_reprodution,0
2008-2011,2008,herpetofauna,disturbance,alteration_trophic_levels,0
2008-2011,2008,herpetofauna,disturbance,behavioural_change,0
2008-2011,2008,invertebrates,direct,collision,0
2008-2011,2008,invertebrates,direct,habitat_alteration,0
2008-2011,2008,invertebrates,direct,invasive_spp,0
2008-2011,2008,invertebrates,disturbance,increased_stress,0
2008-2011,2008,invertebrates,disturbance,reduced_reprodution,0
2008-2011,2008,invertebrates,disturbance,alteration_trophic_levels,0
2008-2011,2008,invertebrates,disturbance,behavioural_change,0
2008-2011,2008,mammals,direct,collision,0
2008-2011,2008,mammals,direct,habitat_alteration,0
2008-2011,2008,mammals,direct,invasive_spp,0
2008-2011,2008,mammals,disturbance,increased_stress,0
2008-2011,2008,mammals,disturbance,reduced_reprodution,0
2008-2011,2008,mammals,disturbance,alteration_trophic_levels,0
2008-2011,2008,mammals,disturbance,behavioural_change,0
2008-2011,2008,vegetation,direct,collision,0
2008-2011,2008,vegetation,direct,habitat_alteration,0
2008-2011,2008,vegetation,direct,invasive_spp,1
2008-2011,2008,vegetation,disturbance,increased_stress,0
2008-2011,2008,vegetation,disturbance,reduced_reprodution,0
2008-2011,2008,vegetation,disturbance,alteration_trophic_levels,0
2008-2011,2008,vegetation,disturbance,behavioural_change,0
2008-2011,2009,bats,direct,collision,1
2008-2011,2009,bats,direct,habitat_alteration,0
2008-2011,2009,bats,direct,invasive_spp,0
2008-2011,2009,bats,disturbance,increased_stress,0
2008-2011,2009,bats,disturbance,reduced_reprodution,0
2008-2011,2009,bats,disturbance,alteration_trophic_levels,0
2008-2011,2009,bats,disturbance,behavioural_change,0
2008-2011,2009,birds,direct,collision,0
2008-2011,2009,birds,direct,habitat_alteration,2
2008-2011,2009,birds,direct,invasive_spp,0
2008-2011,2009,birds,disturbance,increased_stress,0
2008-2011,2009,birds,disturbance,reduced_reprodution,0
2008-2011,2009,birds,disturbance,alteration_trophic_levels,0
2008-2011,2009,birds,disturbance,behavioural_change,0
2008-2011,2009,herpetofauna,direct,collision,0
2008-2011,2009,herpetofauna,direct,habitat_alteration,0
2008-2011,2009,herpetofauna,direct,invasive_spp,0
2008-2011,2009,herpetofauna,disturbance,increased_stress,0
2008-2011,2009,herpetofauna,disturbance,reduced_reprodution,0
2008-2011,2009,herpetofauna,disturbance,alteration_trophic_levels,0
2008-2011,2009,herpetofauna,disturbance,behavioural_change,0
2008-2011,2009,invertebrates,direct,collision,0
2008-2011,2009,invertebrates,direct,habitat_alteration,0
2008-2011,2009,invertebrates,direct,invasive_spp,0
2008-2011,2009,invertebrates,disturbance,increased_stress,0
2008-2011,2009,invertebrates,disturbance,reduced_reprodution,0
2008-2011,2009,invertebrates,disturbance,alteration_trophic_levels,0
2008-2011,2009,invertebrates,disturbance,behavioural_change,0
2008-2011,2009,mammals,direct,collision,0
2008-2011,2009,mammals,direct,habitat_alteration,0
2008-2011,2009,mammals,direct,invasive_spp,0
2008-2011,2009,mammals,disturbance,increased_stress,0
2008-2011,2009,mammals,disturbance,reduced_reprodution,0
2008-2011,2009,mammals,disturbance,alteration_trophic_levels,0
2008-2011,2009,mammals,disturbance,behavioural_change,0
2008-2011,2009,vegetation,direct,collision,0
2008-2011,2009,vegetation,direct,habitat_alteration,0
2008-2011,2009,vegetation,direct,invasive_spp,0
2008-2011,2009,vegetation,disturbance,increased_stress,0
2008-2011,2009,vegetation,disturbance,reduced_reprodution,0
2008-2011,2009,vegetation,disturbance,alteration_trophic_levels,0
2008-2011,2009,vegetation,disturbance,behavioural_change,0
2008-2011,2010,bats,direct,collision,0
2008-2011,2010,bats,direct,habitat_alteration,0
2008-2011,2010,bats,direct,invasive_spp,0
2008-2011,2010,bats,disturbance,increased_stress,0
2008-2011,2010,bats,disturbance,reduced_reprodution,0
2008-2011,2010,bats,disturbance,alteration_trophic_levels,0
2008-2011,2010,bats,disturbance,behavioural_change,0
2008-2011,2010,birds,direct,collision,0
2008-2011,2010,birds,direct,habitat_alteration,1
2008-2011,2010,birds,direct,invasive_spp,0
2008-2011,2010,birds,disturbance,increased_stress,0
2008-2011,2010,birds,disturbance,reduced_reprodution,0
2008-2011,2010,birds,disturbance,alteration_trophic_levels,0
2008-2011,2010,birds,disturbance,behavioural_change,0
2008-2011,2010,herpetofauna,direct,collision,0
2008-2011,2010,herpetofauna,direct,habitat_alteration,0
2008-2011,2010,herpetofauna,direct,invasive_spp,0
2008-2011,2010,herpetofauna,disturbance,increased_stress,0
2008-2011,2010,herpetofauna,disturbance,reduced_reprodution,0
2008-2011,2010,herpetofauna,disturbance,alteration_trophic_levels,0
2008-2011,2010,herpetofauna,disturbance,behavioural_change,0
2008-2011,2010,invertebrates,direct,collision,0
2008-2011,2010,invertebrates,direct,habitat_alteration,0
2008-2011,2010,invertebrates,direct,invasive_spp,0
2008-2011,2010,invertebrates,disturbance,increased_stress,0
2008-2011,2010,invertebrates,disturbance,reduced_reprodution,0
2008-2011,2010,invertebrates,disturbance,alteration_trophic_levels,0
2008-2011,2010,invertebrates,disturbance,behavioural_change,0
2008-2011,2010,mammals,direct,collision,0
2008-2011,2010,mammals,direct,habitat_alteration,0
2008-2011,2010,mammals,direct,invasive_spp,0
2008-2011,2010,mammals,disturbance,increased_stress,0
2008-2011,2010,mammals,disturbance,reduced_reprodution,0
2008-2011,2010,mammals,disturbance,alteration_trophic_levels,0
2008-2011,2010,mammals,disturbance,behavioural_change,0
2008-2011,2010,vegetation,direct,collision,0
2008-2011,2010,vegetation,direct,habitat_alteration,0
2008-2011,2010,vegetation,direct,invasive_spp,0
2008-2011,2010,vegetation,disturbance,increased_stress,0
2008-2011,2010,vegetation,disturbance,reduced_reprodution,0
2008-2011,2010,vegetation,disturbance,alteration_trophic_levels,0
